accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0.7960571646690369,0.43073493242263794,0.8018351197242737,0.8772121667861938,0.8669999837875366,0.3107508420944214,0.9523378014564514,0.8188195824623108
0.8822285532951355,0.284999817609787,0.8988010883331299,0.905899167060852,0.90420001745224,0.22920921444892883,0.9468072652816772,0.889977753162384
0.8951143026351929,0.25829586386680603,0.9081925749778748,0.9181731939315796,0.8963333368301392,0.2531099021434784,0.9655172228813171,0.8574610352516174
0.9042285680770874,0.23473747074604034,0.9155220985412598,0.9259752631187439,0.8906000256538391,0.27203360199928284,0.9766203165054321,0.8373051285743713
0.9129428863525391,0.22168610990047455,0.9207754135131836,0.935537576675415,0.9272666573524475,0.18350820243358612,0.9509546160697937,0.9262806177139282
0.9166285991668701,0.2094043493270874,0.9247700572013855,0.9374405145645142,0.916533350944519,0.20471808314323425,0.969045877456665,0.8889755010604858
0.9228000044822693,0.1961149275302887,0.9294757843017578,0.9430066347122192,0.9214666485786438,0.19185106456279755,0.9717049598693848,0.8948774933815002
0.9236571192741394,0.19368664920330048,0.9309065341949463,0.942863941192627,0.9341333508491516,0.16507959365844727,0.9626070857048035,0.9259465336799622
0.927314281463623,0.18576881289482117,0.934116542339325,0.9456707835197449,0.9366666674613953,0.15802784264087677,0.9653453826904297,0.9275055527687073
0.9281428456306458,0.18269526958465576,0.9361301064491272,0.9448144435882568,0.9428666830062866,0.14904597401618958,0.9493306875228882,0.9555679559707642
0.931771457195282,0.17270530760288239,0.9384825229644775,0.9485728144645691,0.9425333142280579,0.1513693481683731,0.9627223014831543,0.9404231905937195
0.9347428679466248,0.16794005036354065,0.9404739737510681,0.9515699148178101,0.944266676902771,0.1410333514213562,0.9604251384735107,0.9458797574043274
0.933742880821228,0.168069526553154,0.9397131204605103,0.9506660103797913,0.9409999847412109,0.15293817222118378,0.967864990234375,0.9324053525924683
0.9383714199066162,0.15752127766609192,0.9427310824394226,0.9554234147071838,0.9419999718666077,0.15059785544872284,0.9663063287734985,0.9357460737228394
0.9385142922401428,0.1582840532064438,0.9436606764793396,0.9546146392822266,0.9472666382789612,0.13520056009292603,0.9655486345291138,0.9456570148468018
0.9399142861366272,0.1560542732477188,0.9455881714820862,0.9549000859260559,0.9490000009536743,0.1316142976284027,0.9642816781997681,0.949999988079071
0.9444857239723206,0.14470598101615906,0.949695885181427,0.9583253860473633,0.9507333040237427,0.12813764810562134,0.960031270980835,0.9575724005699158
0.944514274597168,0.14350640773773193,0.9499104022979736,0.9581351280212402,0.9434000253677368,0.14485934376716614,0.9766678214073181,0.9276169538497925
0.9440000057220459,0.14242641627788544,0.9493587613105774,0.9578496813774109,0.9534666538238525,0.12088771164417267,0.9622683525085449,0.9599109292030334
0.9470285773277283,0.1401585340499878,0.9510920643806458,0.9612274169921875,0.9532666802406311,0.1254240870475769,0.9674760103225708,0.954008936882019
0.9466857314109802,0.13804541528224945,0.9507672190666199,0.9609895348548889,0.9479333162307739,0.1388516128063202,0.9767414927482605,0.9353006482124329
0.9485999941825867,0.1322249323129654,0.9528341889381409,0.9620361328125,0.9520000219345093,0.1277851164340973,0.9722158908843994,0.9468819499015808
0.948285698890686,0.1359364241361618,0.9525536894798279,0.9617983102798462,0.9498000144958496,0.1315813511610031,0.976154625415802,0.9390868544578552
0.9508857131004333,0.12817394733428955,0.9539916515350342,0.9647478461265564,0.9562666416168213,0.1156276986002922,0.9677455425262451,0.9589086771011353
0.9488000273704529,0.1306719332933426,0.9534050226211548,0.9617506861686707,0.9576666951179504,0.11175840348005295,0.9560607671737671,0.9740534424781799
